default	random	Jenkins
15	9	17
4	72	22
0	3	16
4	0	16
27	0	12
31	46	19
5	4	24
18	64	16
0	2	19
1	1	18
10	0	22
3	33	17
0	0	16
3	34	26
37	6	21
33	22	17
9	0	14
12	3	12
1	0	22
2	61	16
15	2	20
1	70	19
1	0	14
3	0	14
33	0	15
26	67	22
6	2	13
7	90	16
1	0	18
1	1	22
11	1	20
5	13	17
0	6	18
0	35	16
24	0	17
18	1	15
8	9	18
11	13	20
1	40	15
0	10	23
11	0	15
8	1	18
0	38	23
1	11	19
22	106	19
28	6	15
7	0	20
13	1	20
1	55	17
1	3	21
19	52	13
3	3	15
0	2	23
2	0	19
25	18	17
20	0	13
13	45	23
4	3	13
3	30	17
1	1	11
19	1	17
7	1	18
0	60	18
4	1	15
24	79	25
32	0	24
11	0	16
12	0	22
5	39	21
1	2	16
17	76	18
10	0	24
0	0	16
2	3	20
17	19	11
20	12	14
12	12	18
13	0	21
1	2	20
0	7	22
24	20	19
11	87	17
1	2	17
8	0	20
23	4	13
29	52	16
11	10	12
4	104	18
3	3	23
1	0	16
13	1	11
13	58	21
0	0	12
6	40	23
26	4	16
37	11	18
16	0	20
7	8	19
5	0	21
1	45	20
19	1	25
17	54	17
1	0	23
8	0	15
16	1	18
33	59	22
14	1	17
11	97	12
2	0	16
2	0	17
22	1	19
13	27	14
0	5	24
5	44	19
18	0	24
26	1	16
12	4	18
11	21	15
5	34	25
3	9	25
25	0	18
11	1	15
0	27	20
6	22	8
12	95	20
28	1	17
15	0	17
5	2	17
6	59	15
1	7	21
28	65	15
19	4	19
0	0	18
9	1	7
21	30	21
27	0	20
21	38	22
3	2	20
11	28	28
2	0	20
19	3	23
8	0	15
1	55	20
6	1	15
14	80	27
40	0	15
19	0	18
8	0	21
8	42	22
3	3	15
29	96	13
11	0	18
0	3	16
10	0	16
9	23	17
32	6	17
10	28	10
1	0	18
13	4	20
1	14	9
34	21	17
19	48	19
0	5	18
4	0	13
29	3	22
38	43	17
24	7	14
9	110	16
8	2	12
1	0	20
30	2	21
21	49	16
0	3	20
